Track Name;Artist Name(s);Album Name;Album Release Date
Say My Name;Destiny's Child;The Writing's On The Wall;1999-07-27
Baby One More Time;Britney Spears;Baby One More Time (Digital Deluxe Version);1999-01-12
Oops! I Did It Again;Britney Spears;Oops! I Did It Again;2000-05-16
Low (feat. T-Pain);Flo Rida, T-Pain;Mail on Sunday;2008-03-17
Yeah! (feat. Lil Jon & Ludacris);Usher, Lil Jon, Ludacris;Confessions (Expanded Edition);2004-03-23
I Gotta Feeling;Black Eyed Peas;THE E.N.D. (THE ENERGY NEVER DIES);2009-01-01
Boom Boom Pow;Black Eyed Peas;The Beginning & The Best Of The E.N.D.;2011-01-01
Apologize;OneRepublic;Dreaming Out Loud;2007-01-01
As It Was;Harry Styles;As It Was;2022-03-31
Live Your Life - feat. Rihanna;T.I., Rihanna;Paper Trail;2008-09-08
We Get By With a Kiss;Posie;We Get By With a Kiss;2022-03-25
Bleeding Love;Leona Lewis;Spirit;2007
Survivor;Destiny's Child;Survivor;2001-05-01
A Thousand Miles;Vanessa Carlton;Best Of;2011-01-01
Complicated;Avril Lavigne;Let Go;2002-06-04
Crazy In Love (feat. Jay-Z);Beyoncé, JAY-Z;Dangerously In Love;2003-06-24
Gimme! Gimme! Gimme! (A Man After Midnight);HÄWK;Gimme! Gimme! Gimme! (A Man After Midnight);2022-03-18
This Love;Maroon 5;Songs About Jane;2002-06-25
Milkshake;Kelis;The Hits;2008
Toxic;Britney Spears;Greatest Hits: My Prerogative;2004
What I Dreamt;Janet Blackwell;Hindsight Heartache & Hypotheticals;2021-10-31
Hollaback Girl;Gwen Stefani;Love Angel Music Baby;2004-10-27
Candy Shop;50 Cent, Olivia;The Massacre;2005-03-03
Hips Don't Lie (feat. Wyclef Jean);Shakira, Wyclef Jean;Oral Fixation, Vol. 2 (Expanded Edition);2005-11-28
How to Save a Life;The Fray;How To Save A Life;2005-09-13
Cali;Jessica Chaz;Cali;2015-08-20
Everytime We Touch;Cascada;Everytime We Touch;2006-02-21
Irreplaceable;Beyoncé;B'Day Deluxe Edition;2007-05-29
Umbrella;Rihanna, JAY-Z;Good Girl Gone Bad: Reloaded;2008-06-02
The Sweet Escape;Gwen Stefani, Akon;The Sweet Escape;2006-01-01
Girlfriend;Avril Lavigne;The Best Damn Thing;2007-04-17
Envolver;Anitta;Envolver;2021-11-11
Stronger;Kanye West;Graduation;2007-09-11
I Kissed A Girl;Katy Perry;One Of The Boys;2008-06-17
Don't Stop The Music;Rihanna;Good Girl Gone Bad: Reloaded;2008-06-02
Pocketful of Sunshine;Natasha Bedingfield;Pocketful Of Sunshine;2007-04-27
So What;P!nk;Greatest Hits...So Far!!!;2010-11-12
I'm Yours;Jason Mraz;We Sing. We Dance. We Steal Things.;2008-05-12
Poker Face;Lady Gaga;The Fame Monster (Deluxe);2009-01-01
Just Dance;Lady Gaga, Colby O'Donis;The Fame Monster (Deluxe);2009-01-01
Right Round;Flo Rida;R.O.O.T.S. (Route of Overcoming the Struggle);2009-03-30
Single Ladies (Put a Ring on It);Beyoncé;I AM...SASHA FIERCE;2008-11-17
Heartless;Kanye West;808s & Heartbreak;2008-11-24
STAY (with Justin Bieber);The Kid LAROI, Justin Bieber;F*CK LOVE 3: OVER YOU;2021-07-23
Down;Jay Sean, Lil Wayne;All Or Nothing;2009-01-01
My Life Would Suck Without You;Kelly Clarkson;All I Ever Wanted;2009-03-06
Halo;Beyoncé;I AM...SASHA FIERCE;2008-11-17
Party In The U.S.A.;Miley Cyrus;The Time Of Our Lives;2009-01-01
Whatcha Say;Jason Derulo;Jason Derulo (Deluxe Audio);2010-03-01
Paparazzi;Lady Gaga;The Fame;2008-01-01
Loba;Shakira;Loba;2009-09-02
Replay;Iyaz;Replay;2009-08-11
Google;D Wood;Google;2021-12-01
TiK ToK;Kesha;Animal + Cannibal (Deluxe Edition);2010-11-19
Hey, Soul Sister;Train;Hey, Soul Sister;2009-08-06
Airplanes (feat. Hayley Williams of Paramore);B.o.B, Hayley Williams;B.o.B Presents: The Adventures of Bobby Ray;2010-04-27
Love The Way You Lie;Eminem, Rihanna;Recovery;2010-06-18
Oasis;1stNameDiz;Oasis;2021-12-10
Bad Romance;Lady Gaga;The Fame Monster;2009
Dynamite;Taio Cruz;Rokstarr;2010-01-01
Break Your Heart;Taio Cruz, Ludacris;Rokstarr;2010-01-01
Nothin' on You (feat. Bruno Mars);B.o.B, Bruno Mars;B.o.B Presents: The Adventures of Bobby Ray;2010-04-27
I Like It;Enrique Iglesias, Pitbull;Euphoria (Standard US/Latin version);2010-01-01
In My Head;Jason Derulo;Jason Derulo (Deluxe Audio);2010-03-01
Who Is This Bitch, Anyway?;ANISA;A SIDE B SIDE;2021-10-11
Rude Boy;Rihanna;Rated R;2009-11-20
Telephone;Lady Gaga, Beyoncé;The Fame Monster;2009-01-01
Cooler Than Me - Single Mix;Mike Posner, Gigamesh;31 Minutes to Takeoff;2010-08-09
DJ Got Us Fallin' In Love;Usher, Pitbull;DJ Got Us Fallin' In Love;2010-07-13
Billionaire (feat. Bruno Mars);Travie McCoy, Bruno Mars;Billionaire (feat. Bruno Mars);2010-03-09
Not Afraid;Eminem;Recovery;2010-06-18
Sexy Bitch (feat. Akon);David Guetta, Akon;One More Love;2010-11-22
Fireflies;Owl City;Ocean Eyes;2009-01-01
Alejandro;Lady Gaga;The Fame Monster (Deluxe);2009-01-01
Haven't Met You Yet;Michael Bublé;Crazy Love;2009-10-06
Break Free;Ash Nicole;Break Free;2022-04-05
Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack;Flo Rida;Club Can't Handle Me;2010-06-28
Baby;Justin Bieber, Ludacris;My World 2.0;2010-01-01
Never Say Never;Justin Bieber, Jaden;Never Say Never - The Remixes;2011-01-01
Misery;Maroon 5;Hands All Over;2010
Rolling in the Deep;Adele;21;2011-01-19
Give Me Everything (feat. Ne-Yo, Afrojack & Nayer);Pitbull, Ne-Yo, Afrojack, Nayer;Planet Pit (Deluxe Version);2011-06-17
Super Bass;Nicki Minaj;Pink Friday;2010-01-01
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance";Maroon 5, Christina Aguilera;Hands All Over;2010
S&M;Rihanna;Loud;2010-11-15
Pumped Up Kicks;Foster The People;Torches;2011-05-23
Last Friday Night (T.G.I.F.);Katy Perry;Teenage Dream: The Complete Confection;2012-03-12
Each One Teach One;Talia Keys;Each One Teach One;2022-03-25
Someone Like You;Adele;21;2011-01-19
The Lazy Song;Bruno Mars;Doo-Wops & Hooligans;2010-10-05
Tonight Tonight;Hot Chelle Rae;Whatever;2011-11-25
Stereo Hearts (feat. Adam Levine);Gym Class Heroes, Adam Levine;The Papercut Chronicles II;2011-11-11
You Make Me Feel... (feat. Sabi);Cobra Starship, Sabi;Night Shades;2011-08-29
We Found Love (feat. Rihanna);Calvin Harris, Rihanna;18 Months;2012-10-29
Without You (feat. Usher) - Radio Edit;David Guetta, Usher;Without You (feat. Usher) [Remixes];2011-10-21
Who Says;Selena Gomez & The Scene;For You;2014-11-24
Where Them Girls At (feat. Nicki Minaj & Flo Rida);David Guetta, Flo Rida, Nicki Minaj;Nothing but the Beat;2011-08-31
Call Me Maybe;Carly Rae Jepsen;Kiss (Deluxe);2012-01-01
We Are Young (feat. Janelle Monáe);fun., Janelle Monáe;Some Nights;2012-02-21
Payphone;Maroon 5, Wiz Khalifa;Overexposed;2021-06-20
Glad You Came;The Wanted;Glad You Came;2011-01-01
Starships;Nicki Minaj;Pink Friday ... Roman Reloaded (Deluxe);2012-01-01
Wild Ones (feat. Sia);Flo Rida, Sia;Wild Ones;2012-06-22
Some Nights;fun.;Some Nights;2012-02-21
Wide Awake;Katy Perry;Teenage Dream: The Complete Confection;2012-03-12
Good Feeling;Flo Rida;Good Feeling;2011-08-29
Whistle;Flo Rida;Whistle;2012-04-24
No Diggity;HÄWK, BEYGE;No Diggity;2022-01-07
One More Night;Maroon 5;Overexposed (Deluxe);2012-01-01
Drive By;Train;Drive By;2012-01-10
Where Have You Been;Rihanna;Talk That Talk;2011-11-19
Titanium (feat. Sia);David Guetta, Sia;Nothing but the Beat;2011-08-31
Boyfriend;Justin Bieber;Believe;2012-01-01
Young, Wild & Free (feat. Bruno Mars);Snoop Dogg, Wiz Khalifa, Bruno Mars;Young, Wild & Free (feat. Bruno Mars);2011-10-11
As Long As You Love Me;Justin Bieber, Big Sean;Believe (Deluxe Edition);2012-06-15
Blow Me (One Last Kiss);P!nk;The Truth About Love;2012-09-17
Feel So Close - Radio Edit;Calvin Harris;18 Months;2012-10-29
Scream;Usher;Looking 4 Myself (Deluxe Version);2012-06-08
International Love (feat. Chris Brown);Pitbull, Chris Brown;Planet Pit (Deluxe Version);2011-06-17
Cinnamon Clouds;Atreya;Cinnamon Clouds;2022-03-02
Don't Wake Me Up;Chris Brown;Fortune (Deluxe Version);2012-06-29
Paradise;Coldplay;Mylo Xyloto;2011-10-24
Pound The Alarm;Nicki Minaj;Pink Friday ... Roman Reloaded (Deluxe);2012-01-01
Heart Attack;Demi Lovato;Demi;2013-01-01
